"title","platform","year","genre","status","score","youtube"
"SUPER MARIO BROS","NINTENDINHO","1985","PLATAFORMA","ZERADO","6,8","https://youtu.be/_nMKNP7Wrws?si=1ydZ-9j8xUn1dj8G"
"THE LEGEND OF ZELDA","NINTENDINHO","1986","RPG","ZERADO","8,3","https://youtu.be/J_Ja6LVZTbY?si=AEISfc9YfBedcN6D"
"BLACK BELT","MASTER SYSTEM","1986","BEAT 'EM UP","ZERADO","7","https://youtu.be/nkYD00tTcSU?si=OHr4xGTMaQR9TmEt"
"KID ICARUS","NINTENDINHO","1986","PLATAFORMA","ZERADO","7,2","https://youtu.be/DNhvk7p-wmo?si=voLDvz51BwARHY67"
"ALEX KIDD IN MIRACLE WORLD","MASTER SYSTEM","1986","PLATAFORMA","ZERADO","6,5","https://youtu.be/xinH-983uHI?si=uNfoZENHp3Io914-"
"FANTASY ZONE 1","MASTER SYSTEM","1986","SHOOT 'EM UP","NÃO ZERADO","2","https://youtu.be/w4AiZ1i8Fmw?si=Wqpzig09ob1FLBG1"
"METROID","NINTENDINHO","1986","AÇÃO","NÃO ZERADO","7,5","https://youtu.be/87gq3yyQiys?si=nURQ4xHN5RO3LGdo"
"ADVENTURE ISLAND","NINTENDINHO","1986","PLATAFORMA","NÃO ZERADO","6","https://youtu.be/ngB0MLH6hdk?si=uxvBcmXhX-jIaX-C"
"PHANTASY STAR 1","MASTER SYSTEM","1987","RPG","ZERADO","10","https://youtu.be/eLLuEf6pEio?si=63eJaZ0wKhTFOUB2"
"CASTLEVANIA","NINTENDINHO","1987","AÇÃO","ZERADO","7,6","https://youtu.be/WUoDHeUFG74?si=A5XYTyW201u2EVs5"
"CALIFORNIA GAMES (JOGOS DE VERÃO)","MASTER SYSTEM","1987","ESPORTE","ZERADO","9,5","https://youtu.be/jLrBRTBpyWc?si=drYU_UiaxRRKOO0i"
"GREAT VOLLEYBALL","MASTER SYSTEM","1987","ESPORTE","NÃO ZERADO","4,9","https://youtu.be/g2QyQqwWLmQ?si=gksm36C043Jx32Fr"
"ZELDA II: THE ADVENTURE OF LINK","NINTENDINHO","1987","RPG","NÃO ZERADO","3,3","https://youtu.be/gmojyokNuKo?si=J9vRr8ZHoBCfH12U"
"ZILLION","MASTER SYSTEM","1987","PLATAFORMA","ZERADO","6,8","https://youtu.be/1xaL_ZoGito?si=3q3u9FxavNQXHCuc"
"AFTER BURNER","MASTER SYSTEM","1987","SHOOT 'EM UP","NÃO ZERADO","4,9","https://youtu.be/OvjTNLX0OkY?si=yVc9dIshDXeoPVJ7"
"CASTLEVANIA II: SIMON'S QUEST","NINTENDINHO","1987","ACTION RPG","NÃO ZERADO","4","https://youtu.be/UTTR3q2BV78?si=m3wsgE_Lz4ic5Xoj"
"METAL GEAR","NINTENDINHO","1987","AÇÃO","NÃO ZERADO","7,4","https://youtu.be/WJHkoCiOw8Q?si=MxZzY9PFa-YxYkfk"
"ROCKY","MASTER SYSTEM","1987","LUTA","ZERADO","5,5","https://youtu.be/b9N1RIdOT8k?si=Zz0sFseMgiP4wHsM"
"FINAL FANTASY 1","NINTENDINHO","1987","RPG","ZERADO","7,4","https://youtu.be/1-7m6h9cGJI?si=VbKN9qAGtFPN_2H1"
"MIKE TYSON'S PUNCH-OUT!!","NINTENDINHO","1987","LUTA","NÃO ZERADO","9","https://youtu.be/tNI73w_RCEw?si=RhsRd0NQKlWqLejr"
"RASTAN","ARCADE","1987","PLATAFORMA","ZERADO","7,5","https://youtu.be/JFjeEvRh-8E?si=94jWK0tNZ0wNbIwO"
"MEGA MAN 1","NINTENDINHO","1987","PLATAFORMA","NÃO ZERADO","3","https://youtu.be/Rxwuo5OSN0E?si=UgZucLHX_zTv6HTE"
"CONTRA","NINTENDINHO","1987","RUN AND GUN","ZERADO","7,3","https://youtu.be/_2QdcRqHUIY?si=4mUq7nEbEWpejkp5"
"SHINOBI","MASTER SYSTEM","1987","PLATAFORMA","ZERADO","7","https://youtu.be/YhNPzgmI3XY?si=-aJ1MeWwCBzeiTcw"
"KENSEIDEN","MASTER SYSTEM","1988","PLATAFORMA","ZERADO","5","https://youtu.be/FZpLPTiwszs?si=QXQSs3fyYR_dc_ks"
"ALEX KIDD: THE LOST STARS","MASTER SYSTEM","1988","PLATAFORMA","ZERADO","4","https://youtu.be/YlgN0SN-j2g?si=ZOba_8v9EuWP5LME"
"NINJA GAIDEN","NINTENDINHO","1988","HACK AND SLASH","ZERADO","7,65","https://youtu.be/bzKsgYy-YO4?si=NcLjzC_AbC4a3ypR"
"RAMPAGE","MASTER SYSTEM","1988","AÇÃO","ZERADO","7,3","https://youtu.be/7VDLfyCwOOg?si=TEDMIYcJb50r1Z7V"
"FINAL FANTASY 2","NINTENDINHO","1988","RPG","NÃO ZERADO","4","https://youtu.be/_yTWyqNJE0I?si=X6ageSbLoxJsIgSm"
"BIONIC COMMANDO","NINTENDINHO","1988","PLATAFORMA","ZERADO","6,5","https://youtu.be/7NxUA_o2uvg?si=0Zd3EhZafmqPlt4u"
"THE LEGENDARY AXE","PC ENGINE","1988","PLATAFORMA","ZERADO","8,2","https://youtu.be/rJ8yI6PW7A4?si=YLEXZIFixXLTnooR"
"GOLVELLIUS - VALLEY OF DOOM","MASTER SYSTEM","1988","ACTION RPG","ZERADO","7,4","https://youtu.be/Wn7PNDn9lDE?si=MPUX7MkU2cd__RDX"
"DOUBLE DRAGON","MASTER SYSTEM","1988","BEAT 'EM UP","ZERADO","7,3","https://youtu.be/sM-ygS10rOA?si=MLqG01sT7mbVcoGq"
"ALIEN CRUSH","PC ENGINE","1988","PINBALL","ZERADO","7,5","https://youtu.be/z6AQbar351Q?si=59tWsn9Y4LcqZuE-"
"SUPER MARIO BROS. 2","NINTENDINHO","1988","PLATAFORMA","ZERADO","6","https://youtu.be/1nyEuCtMoWk?si=6i14r4pQvT3p6f1I"
"NINJA SPIRIT","PC ENGINE","1988","PLATAFORMA","ZERADO","7,3","https://youtu.be/qKYjN3cNpjU?si=6PXHfId9u1vp8sLk"
"MEGA MAN 2","NINTENDINHO","1988","PLATAFORMA","ZERADO","8,1","https://youtu.be/USloNEtZOwg?si=zsNBbJktFUN_Avvo"
"LORD OF THE SWORD","MASTER SYSTEM","1988","ACTION RPG","NÃO ZERADO","3,5","https://youtu.be/Rz54O2qYnGY?si=sZyx0utmNBAkRjXI"
"SUPER MARIO BROS. 3","NINTENDINHO","1988","PLATAFORMA","ZERADO","9,6","https://youtu.be/eXkM5e-n85g?si=13Fiy_wDp25CKnUw"
"ALTERED BEAST","MEGA DRIVE","1988","BEAT 'EM UP","ZERADO","7,9","https://youtu.be/VnAdTwhFY_A?si=gh7MpdC6SWzZNSly"
"GALAXY FORCE","MASTER SYSTEM","1989","SHOOT 'EM UP","ZERADO","4,9",""
"WEIRD DREAMS","AMIGA","1989","SURVIVAL HORROR","NÃO ZERADO","2",""
"ALEX KIDD IN THE ENCHANTED CASTLE","MEGA DRIVE","1989","PLATAFORMA","ZERADO","7,25",""
"POPULOUS","STEAM/PC","1989","SIMULAÇÃO","","",""
"PHANTASY STAR 2","MEGA DRIVE","1989","RPG","","",""
"BONK'S ADVENTURE","PC ENGINE","1989","PLATAFORMA","ZERADO","4,5",""
"SUPER MARIO LAND","GAME BOY","1989","PLATAFORMA","ZERADO","7,25",""
"CASTLEVANIA III: DRACULA'S CURSE","NINTENDINHO","1989","ACTION RPG","NÃO ZERADO","5","https://youtu.be/YNnqVAMSlOA?si=TczTylQIg7k4Yb5p"
"TETRIS","GAME BOY","1989","PUZZLE","NÃO ZERADO","8,17",""
"DUCKTALES","NINTENDINHO","1989","PLATAFORMA","ZERADO","8",""
"CYBER CROSS","PC ENGINE","1989","BEAT 'EM UP","ZERADO","5",""
"THE REVENGE OF SHINOBI","MEGA DRIVE","1989","BEAT 'EM UP","NÃO ZERADO","7,3",""
"SWORD OF VERMILION","MEGA DRIVE","1989","RPG","NÃO ZERADO","7,5",""
"SIMCITY","STEAM/PC","1989","CITY BUILDING","","6,6",""
"GHOULS 'N GHOSTS","MEGA DRIVE","1989","PLATAFORMA","ZERADO","7,83",""
"RIVER CITY RANSOM","NINTENDINHO","1989","BEAT 'EM UP","NÃO ZERADO","7,25",""
"PSYCHO FOX","MASTER SYSTEM","1989","PLATAFORMA","ZERADO","3,92",""
"TEENAGE MUTANT NINJA TURTLES","NINTENDINHO","1989","AÇÃO","NÃO ZERADO","6",""
"FINAL FIGHT","ARCADE","1989","BEAT 'EM UP","ZERADO","8,25",""
"BATMAN","NINTENDINHO","1989","PLATAFORMA","ZERADO","7,4",""
"GOLDEN AXE","MEGA DRIVE","1989","BEAT 'EM UP","ZERADO","8,2",""
"WORLD CHAMPIONSHIP SOCCER","MEGA DRIVE","1989","ESPORTE","ZERADO","5",""
"DUNGEON EXPLORER","PC ENGINE","1989","RPG","ZERADO","7,7",""
"SPLATTERHOUSE","PC ENGINE","1990","BEAT 'EM UP","ZERADO","7,8",""
"DANAN: THE JUNGLE FIGHTER","MASTER SYSTEM","1990","PLATAFORMA","","",""
"DR. MARIO","NINTENDINHO","1990","PUZZLE","","",""
"CRYSTALIS","NINTENDINHO","1990","RPG","","",""
"POWER BLADE","NINTENDINHO","1990","PLATAFORMA","","",""
"KID DRACULA","NINTENDINHO","1990","PLATAFORMA","","",""
"PHANTASY STAR 3 - GENERATIONS OF DOOM","MEGA DRIVE","1990","RPG","","",""
"FORMATION SOCCER: HUMAN CUP '90","PC ENGINE","1990","ESPORTE","","",""
"ALEX KIDD IN SHINOBI WORLD","MASTER SYSTEM","1990","PLATAFORMA","","",""
